exam,n_students
0,84
1,90
2,99
3,102
4,81
5,79
6,84
7,110
8,110
9,86
10,100
11,75
12,82
13,89
14,74
15,98
16,82
17,72
18,82
19,95
20,89
21,106
22,86
23,92
24,115
25,81
26,110
27,106
28,91
29,81
30,84
31,87
32,96
33,101
34,98
35,76
36,91
37,83
38,91
39,111
40,91
41,88
42,88
43,102
44,92
45,95
46,88
47,75
48,100
49,85
50,80
51,102
52,93
53,95
54,79
55,76
56,92
57,109
58,90
59,74
60,104
61,95
62,99
63,75
64,82
65,91
66,104
67,98
68,93
69,96
70,94
71,99
72,90
73,73
74,103
75,59
76,99
77,95
78,96
79,81
80,79
81,82
82,86
83,95
84,90
85,93
86,89
87,94
88,112
89,104
90,77
91,90
92,76
93,108
94,79
95,86
96,79
97,89
98,104
99,85
