student,exam
0,13
0,30
0,39
1,2
1,29
1,38
2,1
2,5
2,29
2,43
2,49
3,16
3,20
3,40
3,49
4,6
4,14
4,29
4,35
5,12
5,16
5,28
5,35
6,8
6,23
6,31
7,4
7,11
7,46
8,2
8,10
8,30
8,34
8,35
8,37
9,6
9,35
9,44
10,21
10,38
10,48
11,0
11,7
11,41
12,10
12,13
12,14
12,47
13,25
13,29
13,33
13,47
14,3
14,15
14,33
15,19
15,22
15,23
15,47
16,0
16,6
16,11
16,25
16,38
16,48
17,12
17,22
17,28
17,32
18,6
18,10
18,13
18,15
18,23
18,47
19,0
19,6
19,13
19,39
19,48
20,17
20,34
20,39
21,8
21,21
21,23
21,43
22,0
22,2
22,8
22,20
22,22
22,47
23,6
23,12
23,26
23,31
23,40
24,4
24,11
24,30
24,38
24,40
25,12
25,17
25,20
25,39
26,12
26,31
26,38
26,41
27,8
27,14
27,19
27,27
27,38
28,3
28,12
28,22
29,0
29,4
29,27
30,16
30,18
30,26
30,29
30,37
30,45
31,15
31,27
31,34
32,0
32,6
32,15
32,20
32,35
33,0
33,7
33,13
33,17
33,36
34,2
34,20
34,28
34,35
34,46
35,7
35,9
35,48
36,0
36,9
36,21
36,22
36,29
36,44
37,2
37,40
37,47
38,0
38,1
38,14
38,29
38,34
38,47
39,0
39,7
39,10
40,15
40,18
40,43
40,44
40,45
41,21
41,24
41,30
41,34
41,35
42,2
42,10
42,23
42,44
43,32
43,42
43,43
44,19
44,30
44,44
45,5
45,26
45,28
45,40
46,19
46,25
46,35
46,41
46,44
47,8
47,10
47,34
48,6
48,12
48,16
48,41
49,6
49,18
49,28
50,11
50,12
50,25
50,40
50,45
50,46
51,6
51,21
51,23
51,28
51,49
52,1
52,15
52,26
52,37
52,40
52,46
53,0
53,6
53,25
53,31
53,44
54,8
54,23
54,28
54,45
55,14
55,17
55,22
55,27
55,40
56,0
56,8
56,10
56,21
56,41
57,6
57,28
57,33
57,38
58,18
58,26
58,33
58,41
58,46
59,34
59,43
59,45
60,5
60,10
60,32
60,45
61,16
61,26
61,32
61,39
62,6
62,16
62,35
62,39
63,18
63,35
63,38
63,41
63,47
63,48
64,0
64,1
64,4
64,25
64,27
64,41
65,5
65,6
65,9
65,26
65,36
66,15
66,34
66,41
66,46
67,1
67,3
67,5
67,27
67,45
68,20
68,33
68,39
69,5
69,12
69,26
69,41
70,16
70,35
70,43
71,11
71,15
71,24
71,28
71,38
72,9
72,15
72,21
72,24
72,40
72,49
73,5
73,13
73,22
73,34
73,40
74,17
74,43
74,46
75,2
75,4
75,15
75,25
76,1
76,21
76,29
76,30
76,39
77,9
77,14
77,16
77,42
78,6
78,17
78,25
78,27
78,32
78,46
79,13
79,17
79,19
79,20
79,28
79,34
80,6
80,8
80,16
80,28
80,38
80,44
81,2
81,8
81,31
81,35
82,5
82,15
82,31
82,34
82,38
83,15
83,17
83,32
83,37
84,10
84,13
84,25
84,47
85,2
85,17
85,25
85,29
85,37
86,6
86,20
86,27
86,35
86,39
86,46
87,12
87,23
87,25
87,31
87,32
87,49
88,0
88,3
88,12
88,14
88,48
89,4
89,16
89,41
89,45
90,13
90,38
90,42
90,43
91,13
91,22
91,25
91,27
91,38
91,48
92,1
92,24
92,47
93,18
93,36
93,48
94,3
94,10
94,29
95,9
95,22
95,26
95,47
96,9
96,22
96,37
96,44
97,8
97,20
97,23
97,24
97,31
97,40
98,9
98,16
98,44
99,0
99,5
99,7
99,8
99,22
99,36
100,1
100,8
100,12
100,34
100,38
100,39
101,0
101,5
101,11
101,17
101,41
101,47
102,0
102,15
102,24
102,32
102,35
103,28
103,31
103,43
104,10
104,18
104,20
105,2
105,5
105,40
105,43
105,48
106,3
106,9
106,19
106,38
106,49
107,4
107,38
107,42
108,6
108,12
108,18
108,29
108,48
109,13
109,29
109,37
109,38
109,40
109,46
110,6
110,8
110,22
110,42
111,9
111,11
111,21
111,28
111,36
111,39
112,1
112,6
112,23
113,3
113,7
113,16
113,26
113,33
114,0
114,2
114,29
114,37
115,13
115,29
115,32
116,5
116,7
116,11
116,27
116,35
117,16
117,17
117,36
117,44
118,2
118,10
118,24
118,32
119,9
119,23
119,26
119,27
119,45
120,17
120,18
120,27
120,33
121,17
121,29
121,34
122,28
122,34
122,41
122,44
122,47
123,5
123,12
123,14
123,15
123,29
123,42
124,2
124,13
124,15
125,0
125,19
125,46
126,17
126,21
126,23
126,32
126,44
127,11
127,18
127,21
127,28
127,46
128,3
128,9
128,29
128,47
129,1
129,2
129,16
130,14
130,19
130,26
130,31
131,6
131,21
131,43
132,15
132,26
132,43
133,0
133,8
133,19
133,30
133,36
133,44
134,21
134,24
134,31
135,32
135,34
135,36
135,37
136,2
136,18
136,23
136,32
137,1
137,4
137,27
137,30
137,42
137,49
138,7
138,8
138,26
138,39
139,2
139,7
139,26
139,29
139,40
140,4
140,11
140,12
140,18
140,23
140,29
141,2
141,19
141,28
141,48
142,28
142,32
142,47
142,49
143,8
143,17
143,31
143,43
143,46
144,0
144,3
144,8
144,28
144,30
144,40
145,15
145,30
145,38
145,42
145,45
146,1
146,2
146,3
146,10
146,34
146,37
147,5
147,8
147,15
147,16
147,38
147,45
148,13
148,28
148,31
149,1
149,2
149,28
149,33
150,5
150,20
150,26
150,27
151,12
151,17
151,43
152,0
152,2
152,5
152,10
152,28
153,24
153,25
153,33
154,13
154,15
154,27
154,49
155,7
155,38
155,45
155,47
156,2
156,25
156,49
157,0
157,22
157,24
158,22
158,28
158,41
159,8
159,20
159,35
159,44
160,0
160,24
160,45
161,15
161,28
161,29
162,8
162,11
162,18
162,32
162,39
163,2
163,5
163,14
164,4
164,25
164,28
164,45
165,7
165,16
165,28
165,29
165,47
166,5
166,7
166,9
166,11
166,12
166,37
167,7
167,21
167,25
167,33
168,5
168,10
168,17
168,26
169,0
169,3
169,22
169,28
169,43
169,47
170,8
170,9
170,19
170,34
171,0
171,7
171,10
171,31
171,41
171,44
172,24
172,26
172,37
172,38
172,47
172,48
173,9
173,25
173,28
173,46
174,5
174,16
174,27
175,11
175,38
175,43
176,13
176,22
176,28
176,42
176,45
176,46
177,5
177,12
177,15
177,36
177,38
178,5
178,16
178,18
178,19
178,44
178,47
179,8
179,9
179,19
179,26
179,40
179,45
180,12
180,24
180,29
180,38
180,47
180,49
181,19
181,28
181,35
182,9
182,11
182,40
183,1
183,23
183,29
184,2
184,5
184,18
184,27
184,29
184,38
185,1
185,10
185,14
185,28
185,40
186,2
186,12
186,26
187,15
187,36
187,38
187,44
188,2
188,5
188,26
188,43
189,13
189,19
189,26
189,31
190,6
190,27
190,28
190,29
190,39
190,42
191,6
191,18
191,26
191,30
192,0
192,4
192,16
192,26
192,42
192,49
193,7
193,8
193,9
193,26
194,15
194,24
194,28
194,30
194,39
195,10
195,27
195,35
195,41
195,42
195,44
196,2
196,24
196,37
196,48
197,6
197,24
197,35
198,16
198,22
198,24
198,32
198,34
198,40
199,13
199,14
199,43
200,0
200,6
200,41
201,5
201,26
201,43
202,9
202,16
202,35
203,37
203,41
203,42
203,49
204,3
204,14
204,25
204,42
205,2
205,15
205,36
205,42
205,43
205,47
206,13
206,24
206,25
206,34
206,37
206,42
207,0
207,3
207,6
207,16
207,23
207,46
208,12
